ancine_id,classind_id
B1402408400000,58882
E1500709000000,60508
E1500477800000,60219
E1500398700000,59760
E1500617500000,60368
B1500189400000,59541
E1500617600000,60510
E1500242500000,59403
B1500309900000,59542
E1500743300000,60608
E1500850600000,60818
E1500299900000,59571
E1500377200000,59689
B1500740900000,60439
E1500058100000,59036
E1500490400000,60374
B1500014400000,59217
E1500738500000,60791
E1500219200000,59382
B1500071300000,58985
E1500451000000,59981
B1500290200000,59385
E1500277300000,59594
B1500218600000,59377
E1500069100000,59030
B1402229600000,58020
E1500821400000,60666
E1500563200000,58635
E1500729400000,60445
E1500729000000,60289
B1402372600000,58294
B1600084400000,60520
B1500404600000,59935
E1600438100000,62050
B1600070900000,61221
E1500613900000,60284
E1600794200000,63340
E1600508500000,62032
E1500799900000,60858
E1600304800000,61907
E1600412700000,62127
B1600405900000,61958
B1600342000000,61748
E1500900400000,60968
E1600496600000,61896
E1500800000000,60816
E1600156400000,61344
E1600278500000,61663
B1600599600000,62333
B1600648800000,62339
E1600183100000,61398
E1600098100000,61460
E1500818800000,61064
B1402633700000,60931
E1600328500000,61744
E1600347300000,61932
B1500405100000,59783
E1600677200000,62511
E1500271100000,61483
B1402855900000,59874
E1600717600000,62645
E1600231500000,61451
E1600438200000,62195
E1600625100000,62449
E1500660600000,62108
B1600716200000,73193
E1600750200000,62719
B1402652900000,60557
B1600109200000,61307
E1600054200000,61140
B1402130700000,62414
E1500739300000,61270
E1500898500000,60848
E1500728900000,60998
B1402235800000,58647
E1600328400000,61869
E1600674200000,62480
B1600567900000,62295
E1600138600000,61835
E1500846700000,60947
B1600036400000,60967
B1402391300000,61259
E1500857700000,60802
B1402524100000,61020
B1500177200000,60994
E1600597800000,62499
B1600368700000,61807
B1600517400000,62210
E1600349900000,61801
B1600017500000,61045
E1500717300000,61079
E1600663000000,62651
B1500475400000,60068
B1402254300000,59891
E1500703500000,60527
E1600556800000,62318
B1500861900000,57649
B1600765000000,62772
B1500269700000,61656
E1500269900000,61553
E1600285900000,61591
E1500744200000,61897
B1600305700000,61625
E1500739800000,61643
B1500407700000,60066
E1600181600000,61611
E1600795300000,62985
E1600763400000,62789
E1600770100000,62861
B1600780500000,63453
E1700543000000,77088
B1600770800000,62830
E1700467800000,65220
B1500464600000,62552
B1700227000000,65149
B1600332400000,61674
B1700046100000,61894
B1600058600000,62482
E1700370700000,64989
E1700493700000,65206
B1600052200000,61427
E1700181200000,63475
B1600690600000,61942
E1700365900000,64865
B1700243800000,63494
B1700123200000,64947
E1700029400000,63067
B1700109600000,63204
E1700463900000,65228
E1700469100000,65173
E1600784200000,62887
E1700236500000,63675
E1700025200000,62968
B1700382400000,64897
E1700540500000,65362
E1600651400000,62878
B1700050700000,62748
B1700220800000,64915
B1700455300000,65201
E1700393600000,65011
B1600784700000,62876
B1600785500000,63300
E1700068900000,63155
B1700533700000,81506
E1600764200000,62852
E1500750300000,62662
B1600466500000,61927
E1700460300000,65252
E1700054800000,63101
E1700166000000,63388
E1700170800000,63454
E1500758500000,62113
E1600576000000,62935
B1600604900000,62700
B1600403600000,61522
B1600625200000,62440
B1700581500000,65401
B1600068000000,61954
B1700477000000,65106
B1600639200000,61961
E1600488100000,62902
E1800415700000,70693
B1600756100000,66830
E1800361600000,70494
E1800319500000,70352
B1800470600000,70610
B1700085300000,63684
E1700482700000,65418
E1800490600000,71955
B1700560500000,65386
B1600707400000,70531
B1800422100000,70500
B1700316900000,61922
B1700546500000,66857
E1800537900000,71946
E1700408900000,67075
B1700402200000,64973
E1800073000000,66850
E1700202500000,65464
B1600754000000,63434
E1800184600000,70508
E1800136200000,66970
B1600193300000,66741
E1800085100000,66822
E1800281700000,70702
B1800002100000,70485
B1402254000000,70408
B1700184000000,66718
E1800176200000,66978
B1700615400000,66539
B1800397100000,70532
E1800127100000,11596
E1500760000000,68206
B1700159700000,64910
B1800193400000,67074
B1700406200000,63136
B1800546900000,70888
B1500794300000,61882
E1800037700000,67140
B1700431000000,70358
E1800216600000,68236
E1800230700000,68307
B1600050100000,59915
B1700508700000,65474
E1700035400000,65422
B1800287300000,69323
E1800076300000,65271
E1800037900000,70344
B1700539800000,65250
E1700483800000,65485
B1800285700000,68258
E1800211700000,68272
E1800347600000,70402
E1900266600000,73709
E1900289700000,73876
B1800516900000,70845
E1900510200000,75218
B1700307900000,67173
B1800547100000,73772
E1900271800000,73928
B1700602000000,70579
B1800213800000,75162
B1900511300000,75210
B1700435100000,73438
B1700490400000,72115
B1800504800000,64918
B1700596400000,65226
B1900357900000,73605
E1900436700000,75139
B1800115900000,73992
B1800421800000,66770
B1800547000000,73174
E1800535500000,70897
E1900368700000,73935
B1600660100000,61946
E1900127700000,73685
E1900073900000,73222
B1900092000000,73275
B1600116700000,70473
B1800374500000,73330
B1700028400000,70490
B1800152800000,70530
B1600677900000,73883
B1800287700000,70489
E1900447600000,75170
B1700479800000,70415
E1900227200000,73632
B1800204300000,70958
B1900013000000,73193
E1800519300000,70883
B1900164800000,73429
E1900129500000,73421
E1800475300000,72004
B1800029600000,73552
E1900046200000,73162
E1900449400000,75122
E1900310600000,73757
E1900356000000,73899
B1900507000000,75226
B1800517000000,73661
E1900440500000,75148
E1900017600000,73373
B1800263900000,73201
B1900032000000,72098
E1900358900000,75446
E1900148700000,73219
B1800504700000,73318
B1800005800000,73270
B1900235500000,73603
E1800490400000,73233
E1800481100000,70944
E1900265700000,73801
E1800495100000,70957
B1900592900000,75439
E1900443600000,74081
E2000031600000,74081
E1900534700000,75385
E1900532300000,75493
E1900570600000,75477
